B0056	Third Row שמאל Seat Belt Sensor	Third Row Left Seat Belt Sensor
B0057	תקלה B0057 - Third Row Center Seat Belt Sensor	Third Row Center Seat Belt Sensor
B0058	Third Row ימין Seat Belt Sensor	Third Row Right Seat Belt Sensor
B0060	תקלה B0060 - Driver Seat Belt Tension Sensor	Driver Seat Belt Tension Sensor
B0061	תקלה B0061 - Passenger Seat Belt Tension Sensor	Passenger Seat Belt Tension Sensor
B0070	תקלה B0070 - Driver Seat Belt Pretensioner A Deployment Control	Driver Seat Belt Pretensioner A Deployment Control
B0071	תקלה B0071 - First Row Center Seat Belt Pretensioner Deployment Control	First Row Center Seat Belt Pretensioner Deployment Control
B0072	תקלה B0072 - Passenger Seat Belt Pretensioner A Deployment Control	Passenger Seat Belt Pretensioner A Deployment Control
B0073	Second Row שמאל Seat Belt Pretensioner Deployment Control	Second Row Left Seat Belt Pretensioner Deployment Control
B0074	תקלה B0074 - Second Row Center Seat Belt Pretensioner Deployment Control	Second Row Center Seat Belt Pretensioner Deployment Control
B0075	Second Row ימין Seat Belt Pretensioner Deployment Control	Second Row Right Seat Belt Pretensioner Deployment Control
B0076	Third Row שמאל Seat Belt Pretensioner Deployment Control	Third Row Left Seat Belt Pretensioner Deployment Control
B0077	תקלה B0077 - Third Row Center Seat Belt Pretensioner Deployment Control	Third Row Center Seat Belt Pretensioner Deployment Control
B0078	Third Row ימין Seat Belt Pretensioner Deployment Control	Third Row Right Seat Belt Pretensioner Deployment Control
B0079	תקלה B0079 - Driver Seat Belt Pretensioner B Deployment Control	Driver Seat Belt Pretensioner B Deployment Control
B007A	תקלה B007A - Passenger Seat Belt Pretensioner B Deployment Control	Passenger Seat Belt Pretensioner B Deployment Control
B007B	Second Row שמאל Seat Belt Pretensioner B Deployment Control	Second Row Left Seat Belt Pretensioner B Deployment Control
B007C	Second Row ימין Seat Belt Pretensioner B Deployment Control	Second Row Right Seat Belt Pretensioner B Deployment Control
B007D	תקלה B007D - Second Row Center Seat Belt Pretensioner B Deployment Control	Second Row Center Seat Belt Pretensioner B Deployment Control
B007E	תקלה B007E - Driver Seat Belt Pretensioner C Deployment Control	Driver Seat Belt Pretensioner C Deployment Control
B007F	תקלה B007F - Passenger Seat Belt Pretensioner C Deployment Control	Passenger Seat Belt Pretensioner C Deployment Control
B0080	תקלה B0080 - Driver Seat Belt Load Limiter Deployment Control	Driver Seat Belt Load Limiter Deployment Control
B0081	תקלה B0081 - First Row Center Seat Belt Load Limiter Deployment Control	First Row Center Seat Belt Load Limiter Deployment Control
B0082	תקלה B0082 - Passenger Seat Belt Load Limiter Deployment Control	Passenger Seat Belt Load Limiter Deployment Control
B0083	Second Row שמאל Seat Belt Load Limiter Deployment Control	Second Row Left Seat Belt Load Limiter Deployment Control
B0084	תקלה B0084 - Second Row Center Seat Belt Load Limiter Deployment Control	Second Row Center Seat Belt Load Limiter Deployment Control
B0085	Second Row ימין Seat Belt Load Limiter Deployment Control	Second Row Right Seat Belt Load Limiter Deployment Control
B0086	Third Row שמאל Seat Belt Load Limiter Deployment Control	Third Row Left Seat Belt Load Limiter Deployment Control
B0087	תקלה B0087 - Third Row Center Seat Belt Load Limiter Deployment Control	Third Row Center Seat Belt Load Limiter Deployment Control
B0088	Third Row ימין Seat Belt Load Limiter Deployment Control	Third Row Right Seat Belt Load Limiter Deployment Control
B0090	שמאל Frontal Restraints Sensor	Left Frontal Restraints Sensor
B0091	שמאל Side Restraints חיישן 1	Left Side Restraints Sensor 1
B0092	שמאל Side Restraints חיישן 2	Left Side Restraints Sensor 2
B0093	שמאל Side Restraints חיישן 3	Left Side Restraints Sensor 3
B0094	תקלה B0094 - Center Frontal Restraints Sensor	Center Frontal Restraints Sensor
B0095	ימין Frontal Restraints Sensor	Right Frontal Restraints Sensor
B0096	ימין Side Restraints חיישן 1	Right Side Restraints Sensor 1
B0097	ימין Side Restraints חיישן 2	Right Side Restraints Sensor 2
B0098	ימין Side Restraints חיישן 3	Right Side Restraints Sensor 3
B0099	תקלה B0099 - Roll Over Sensor	Roll Over Sensor
B009A	שמאל Side Restraints Sensor 4	Left Side Restraints Sensor 4
B009B	שמאל Side Restraints Sensor 5	Left Side Restraints Sensor 5
B009C	שמאל Side Restraints Sensor 6	Left Side Restraints Sensor 6
B009D	ימין Side Restraints Sensor 4	Right Side Restraints Sensor 4
B009E	ימין Side Restraints Sensor 5	Right Side Restraints Sensor 5
B009F	ימין Side Restraints Sensor 6	Right Side Restraints Sensor 6
B00A0	תקלה B00A0 - Occupant Classification System	Occupant Classification System
B00A1	תקלה B00A1 - Occupant Position System	Occupant Position System
B00B0	תקלה B00B0 - Driver Seat Occupant Classification Sensor A	Driver Seat Occupant Classification Sensor A
B00B1	תקלה B00B1 - Driver Seat Occupant Classification Sensor B	Driver Seat Occupant Classification Sensor B
B00B2	תקלה B00B2 - Driver Seat Occupant Classification Sensor C	Driver Seat Occupant Classification Sensor C
B00B3	תקלה B00B3 - Driver Seat Occupant Classification Sensor D	Driver Seat Occupant Classification Sensor D
B00B4	תקלה B00B4 - Driver Seat Occupant Classification Sensor E	Driver Seat Occupant Classification Sensor E
B00B5	תקלה B00B5 - Driver Seat Track Position Restraints Sensor	Driver Seat Track Position Restraints Sensor
B00B6	תקלה B00B6 - Driver Seat Recline Position Restraints Sensor	Driver Seat Recline Position Restraints Sensor
B00B7	תקלה B00B7 - Driver Seat Occupant Position Sensor A	Driver Seat Occupant Position Sensor A
B00B8	תקלה B00B8 - Driver Seat Occupant Position Sensor B	Driver Seat Occupant Position Sensor B
B00B9	תקלה B00B9 - Driver Seat Occupant Position Sensor C	Driver Seat Occupant Position Sensor C
B00BA	תקלה B00BA - Driver Seat Occupant Position Sensor D	Driver Seat Occupant Position Sensor D
B00BB	תקלה B00BB - Driver Seat Occupant Position Sensor E	Driver Seat Occupant Position Sensor E
B00C0	תקלה B00C0 - Passenger Seat Occupant Classification Sensor A	Passenger Seat Occupant Classification Sensor A
B00C1	תקלה B00C1 - Passenger Seat Occupant Classification Sensor B	Passenger Seat Occupant Classification Sensor B
B00C2	תקלה B00C2 - Passenger Seat Occupant Classification Sensor C	Passenger Seat Occupant Classification Sensor C
B00C3	תקלה B00C3 - Passenger Seat Occupant Classification Sensor D	Passenger Seat Occupant Classification Sensor D
B00C4	תקלה B00C4 - Passenger Seat Occupant Classification Sensor E	Passenger Seat Occupant Classification Sensor E
B00C5	תקלה B00C5 - Passenger Seat Track Position Restraints Sensor	Passenger Seat Track Position Restraints Sensor
B00C6	תקלה B00C6 - Passenger Seat Recline Position Restraints Sensor	Passenger Seat Recline Position Restraints Sensor
B00C7	תקלה B00C7 - Passenger Seat Occupant Position Sensor A	Passenger Seat Occupant Position Sensor A
B00C8	תקלה B00C8 - Passenger Seat Occupant Position Sensor B	Passenger Seat Occupant Position Sensor B
B00C9	תקלה B00C9 - Passenger Seat Occupant Position Sensor C	Passenger Seat Occupant Position Sensor C
B00CA	תקלה B00CA - Passenger Seat Occupant Position Sensor D	Passenger Seat Occupant Position Sensor D
B00CB	תקלה B00CB - Passenger Seat Occupant Position Sensor E	Passenger Seat Occupant Position Sensor E
B00D0	תקלה B00D0 - Driver Seat Belt Indicator	Driver Seat Belt Indicator
B00D1	תקלה B00D1 - Passenger Seat Belt Indicator	Passenger Seat Belt Indicator
B00D2	Restraint System תקלה בתפקוד Indicator 1	Restraint System Malfunction Indicator 1
B00D3	Restraint System תקלה בתפקוד Indicator 2	Restraint System Malfunction Indicator 2
B00D4	Restraint System תקלה בתפקוד Audible Indicator	Restraint System Malfunction Audible Indicator
B00D5	תקלה B00D5 - Restraint System Passenger Disable Indicator	Restraint System Passenger Disable Indicator
B00DF	תקלה B00DF - Passenger Restraints Disable Switch	Passenger Restraints Disable Switch
B00E0	Third Row שמאל Seat Belt Pretensioner B Deployment Control	Third Row Left Seat Belt Pretensioner B Deployment Control
B00E1	Third Row ימין Seat Belt Pretensioner B Deployment Control	Third Row Right Seat Belt Pretensioner B Deployment Control
B00E2	תקלה B00E2 - Third Row Center Seat Belt Pretensioner B Deployment Control	Third Row Center Seat Belt Pretensioner B Deployment Control
B00E3	Second Row שמאל Seat Belt Pretensioner C Deployment Control	Second Row Left Seat Belt Pretensioner C Deployment Control
B00E4	Second Row ימין Seat Belt Pretensioner C Deployment Control	Second Row Right Seat Belt Pretensioner C Deployment Control
B00E5	תקלה B00E5 - Second Row Center Seat Belt Pretensioner C Deployment Control	Second Row Center Seat Belt Pretensioner C Deployment Control
B00E6	Third Row ימין Seat Belt Pretensioner C Deployment Control	Third Row Right Seat Belt Pretensioner C Deployment Control
B00E7	Third Row שמאל Seat Belt Pretensioner C Deployment Control	Third Row Left Seat Belt Pretensioner C Deployment Control
B00E8	תקלה B00E8 - Third Row Center Seat Belt Pretensioner C Deployment Control	Third Row Center Seat Belt Pretensioner C Deployment Control
B00F0	תקלה B00F0 - Driver Inflatable Seat Belt Deployment Control	Driver Inflatable Seat Belt Deployment Control
B00F1	תקלה B00F1 - Passenger Inflatable Seat Belt Deployment Control	Passenger Inflatable Seat Belt Deployment Control
B00F2	Second Row שמאל Inflatable Seat Belt Deployment Control	Second Row Left Inflatable Seat Belt Deployment Control
B00F3	תקלה B00F3 - Second Row Center Inflatable Seat Belt Deployment Control	Second Row Center Inflatable Seat Belt Deployment Control
B00F4	Second Row ימין Inflatable Seat Belt Deployment Control	Second Row Right Inflatable Seat Belt Deployment Control
B00F5	Third Row שמאל Inflatable Seat Belt Deployment Control	Third Row Left Inflatable Seat Belt Deployment Control
B00F6	תקלה B00F6 - Third Row Center Inflatable Seat Belt Deployment Control	Third Row Center Inflatable Seat Belt Deployment Control
B00F7	Third Row ימין Inflatable Seat Belt Deployment Control	Third Row Right Inflatable Seat Belt Deployment Control
B0100	תקלה B0100 - Sensor Cleaning Air Blower Actuator A	Sensor Cleaning Air Blower Actuator A
B0101	תקלה B0101 - Sensor Cleaning Air Blower Actuator B	Sensor Cleaning Air Blower Actuator B
B0102	תקלה B0102 - Sensor Cleaning Air Blower Actuator A Control	Sensor Cleaning Air Blower Actuator A Control
B0103	תקלה B0103 - Sensor Cleaning Air Blower Actuator B Control	Sensor Cleaning Air Blower Actuator B Control
B0104	תקלה B0104 - Sensor Cleaning Air Blower Actuator A Control Relay	Sensor Cleaning Air Blower Actuator A Control Relay
B0105	תקלה B0105 - Sensor Cleaning Air Blower Actuator B Control Relay	Sensor Cleaning Air Blower Actuator B Control Relay
B0106	תקלה B0106 - LIDAR Washer Actuator A	LIDAR Washer Actuator A
B0107	תקלה B0107 - LIDAR Washer Actuator B	LIDAR Washer Actuator B
B0108	תקלה B0108 - LIDAR Washer Actuator C	LIDAR Washer Actuator C
B0109	תקלה B0109 - LIDAR Washer Actuator D	LIDAR Washer Actuator D
B010A	תקלה B010A - Camera Washer Actuator A	Camera Washer Actuator A
B010B	תקלה B010B - Camera Washer Actuator B	Camera Washer Actuator B
B010C	תקלה B010C - Camera Washer Actuator C	Camera Washer Actuator C
B010D	תקלה B010D - Camera Washer Actuator D	Camera Washer Actuator D
B010E	תקלה B010E - Camera Washer Actuator E	Camera Washer Actuator E
B010F	תקלה B010F - Camera Washer Actuator F	Camera Washer Actuator F
B0110	תקלה B0110 - Camera Washer Actuator G	Camera Washer Actuator G
B0111	תקלה B0111 - Camera Washer Actuator H	Camera Washer Actuator H
B0112	תקלה B0112 - Camera Washer Actuator J	Camera Washer Actuator J
B0113	תקלה B0113 - Camera Washer Actuator K	Camera Washer Actuator K
B0114	תקלה B0114 - Camera Washer Actuator L	Camera Washer Actuator L
B0115	תקלה B0115 - Camera Washer Actuator M	Camera Washer Actuator M
B0116	תקלה B0116 - Camera Washer Actuator N	Camera Washer Actuator N
B0117	תקלה B0117 - Camera Washer Actuator O	Camera Washer Actuator O
B0118	תקלה B0118 - Camera Washer Actuator P	Camera Washer Actuator P
B0119	תקלה B0119 - Camera Washer Actuator Q	Camera Washer Actuator Q
B011A	תקלה B011A - Camera Washer Actuator R	Camera Washer Actuator R
B011B	תקלה B011B - Camera Washer Actuator S	Camera Washer Actuator S
B011C	תקלה B011C - Fluid Reservoir Level Sensor A	Fluid Reservoir Level Sensor A
B011D	תקלה B011D - Fluid Reservoir Level Sensor B	Fluid Reservoir Level Sensor B
B011E	תקלה B011E - Fluid Reservoir Level Sensor C	Fluid Reservoir Level Sensor C
B011F	תקלה B011F - Fluid Reservoir Level Sensor D	Fluid Reservoir Level Sensor D
B0120	תקלה B0120 - Fluid Reservoir Level Sensor E	Fluid Reservoir Level Sensor E
B0121	תקלה B0121 - Fluid Reservoir Level Sensor F	Fluid Reservoir Level Sensor F
B0122	תקלה B0122 - Pedestrian Alert Speaker A	Pedestrian Alert Speaker A
B0123	תקלה B0123 - Pedestrian Alert Speaker B	Pedestrian Alert Speaker B
B0124	תקלה B0124 - Night Vision Camera	Night Vision Camera
B0125	Night Vision מודול בקרה	Night Vision Control Module
B0126	תקלה B0126 - Driver Monitoring Camera	Driver Monitoring Camera
B0127	DC/AC Converter A מתח גבוה (HV) Power Outlet “A” מעגל • נתק / מעגל פתוח	DC/AC Converter A High Voltage Power Outlet “A” Circuit/Open
B0128	DC/AC Converter A מתח גבוה (HV) Power Outlet “B” מעגל • נתק / מעגל פתוח	DC/AC Converter A High Voltage Power Outlet “B” Circuit/Open
B0129	DC/AC Converter A מתח גבוה (HV) Power Outlet “C” מעגל • נתק / מעגל פתוח	DC/AC Converter A High Voltage Power Outlet “C” Circuit/Open
B012A	DC/AC Converter A מתח גבוה (HV) Power Outlet “D” מעגל • נתק / מעגל פתוח	DC/AC Converter A High Voltage Power Outlet “D” Circuit/Open
B012B	DC/AC Converter A מתח גבוה (HV) Power Outlet “E” מעגל • נתק / מעגל פתוח	DC/AC Converter A High Voltage Power Outlet “E” Circuit/Open
B012C	DC/AC Converter A מתח גבוה (HV) Power Outlet מודול בקרה “A”	DC/AC Converter A High Voltage Power Outlet Control Module “A”
B012D	DC/AC Converter A מתח גבוה (HV) Power Outlet מודול בקרה “B”	DC/AC Converter A High Voltage Power Outlet Control Module “B”
B012E	DC/AC Converter A מתח גבוה (HV) Power Outlet מודול בקרה “C”	DC/AC Converter A High Voltage Power Outlet Control Module “C”
B012F	A/V Sensor Washer Fluid A מעגל בקרה	A/V Sensor Washer Fluid A Control Circuit
B0130	A/V Sensor Washer Fluid B מעגל בקרה	A/V Sensor Washer Fluid B Control Circuit
B0131	A/V Sensor Washer Fluid C מעגל בקרה	A/V Sensor Washer Fluid C Control Circuit
B0132	A/V Sensor Washer Fluid D מעגל בקרה	A/V Sensor Washer Fluid D Control Circuit
B0133	A/V Sensor Washer Fluid E מעגל בקרה	A/V Sensor Washer Fluid E Control Circuit
B0134	A/V Sensor Washer Fluid F מעגל בקרה	A/V Sensor Washer Fluid F Control Circuit
B1200	Climate Control Pushbutton מעגל Failure	Climate Control Pushbutton Circuit Failure
B1201	Fuel Sender מעגל Failure	Fuel Sender Circuit Failure
B1202	Fuel Sender מעגל פתוח / נתק	Fuel Sender Circuit Open
B1203	Fuel Sender מעגל קצר למתח מצבר	Fuel Sender Circuit Short To Battery
B1204	Fuel Sender מעגל קצר לאדמה (גוף הרכב)	Fuel Sender Circuit Short To Ground
B1205	EIC Switch-1 Assembly מעגל Failure	EIC Switch-1 Assembly Circuit Failure
B1206	EIC Switch-1 Assembly מעגל פתוח / נתק	EIC Switch-1 Assembly Circuit Open
B1207	EIC Switch-1 Assembly מעגל קצר למתח מצבר	EIC Switch-1 Assembly Circuit Short To Battery
B1208	EIC Switch-1 Assembly מעגל קצר לאדמה (גוף הרכב)	EIC Switch-1 Assembly Circuit Short To Ground
B1209	EIC Switch-2 Assembly מעגל Failure	EIC Switch-2 Assembly Circuit Failure
B1210	EIC Switch-2 Assembly מעגל פתוח / נתק	EIC Switch-2 Assembly Circuit Open
B1211	EIC Switch-2 Assembly מעגל קצר למתח מצבר	EIC Switch-2 Assembly Circuit Short To Battery
B1212	EIC Switch-2 Assembly מעגל קצר לאדמה (גוף הרכב)	EIC Switch-2 Assembly Circuit Short To Ground
B1213	תקלה B1213 - Anti-Theft Number of Programmed Keys Is Below Minimum	Anti-Theft Number of Programmed Keys Is Below Minimum
B1214	Running Board Lamp מעגל Failure	Running Board Lamp Circuit Failure
B1215	Running Board Lamp מעגל קצר למתח מצבר	Running Board Lamp Circuit Short to Battery
B1216	Emergency & Road Side Assistance Switch מעגל קצר לאדמה (גוף הרכב)	Emergency & Road Side Assistance Switch Circuit Short to Ground
B1217	Horn Relay Coil מעגל Failure	Horn Relay Coil Circuit Failure
B1218	Horn Relay Coil מעגל Short to Vbatt	Horn Relay Coil Circuit Short to Vbatt
B1219	חיישן לחץ מכל דלק מעגל Failure	Fuel Tank Pressure Sensor Circuit Failure
B1220	חיישן לחץ מכל דלק מעגל פתוח / נתק	Fuel Tank Pressure Sensor Circuit Open
B1222	חיישן טמפרטורת דלק #1 מעגל Failure	Fuel Temperature Sensor #1 Circuit Failure
B1223	חיישן טמפרטורת דלק #1 מעגל פתוח / נתק	Fuel Temperature Sensor #1 Circuit Open
B1224	חיישן טמפרטורת דלק #1 מעגל קצר למתח מצבר	Fuel Temperature Sensor #1 Circuit Short to Battery
B1225	חיישן טמפרטורת דלק #1 מעגל קצר לאדמה (גוף הרכב)	Fuel Temperature Sensor #1 Circuit Short to Ground
B1226	חיישן טמפרטורת דלק #2 מעגל Failure	Fuel Temperature Sensor #2 Circuit Failure
B1227	חיישן טמפרטורת דלק #2 מעגל פתוח / נתק	Fuel Temperature Sensor #2 Circuit Open
B1228	חיישן טמפרטורת דלק #2 מעגל קצר למתח מצבר	Fuel Temperature Sensor #2 Circuit Short to Battery
B1229	חיישן טמפרטורת דלק #2 מעגל קצר לאדמה (גוף הרכב)	Fuel Temperature Sensor #2 Circuit Short to Ground
B1231	תקלה B1231 - Longitudinal Acceleration Threshold Exceeded	Longitudinal Acceleration Threshold Exceeded
B1232	תקלה B1232 - See Manufacturer	See Manufacturer
B1233	תקלה B1233 - Glass Break Sensor Failure	Glass Break Sensor Failure
B1234	תקלה B1234 - Mirror Switch Invalid Code	Mirror Switch Invalid Code
B1235	תקלה B1235 - Window Feedback Failure	Window Feedback Failure
B1236	תקלה B1236 - Window Feedback Loss of Signal	Window Feedback Loss of Signal
B1237	תקלה B1237 - Window Feedback Out of Range	Window Feedback Out of Range
B1238	תקלה B1238 - Over Temperature Fault	Over Temperature Fault
B1239	Air Flow Blend Door Driver מעגל Failure	Air Flow Blend Door Driver Circuit Failure
B1240	Wiper Washer אחורי Pump Relay מעגל Failure	Wiper Washer Rear Pump Relay Circuit Failure
B1241	Wiper Washer אחורי Pump Relay מעגל קצר למתח מצבר	Wiper Washer Rear Pump Relay Circuit Short to Battery
B1242	Air Flow Recirculation Door Driver מעגל Failure	Air Flow Recirculation Door Driver Circuit Failure
B1243	Express Window Down Switch מעגל קצר למתח מצבר	Express Window Down Switch Circuit Short to Battery
B1244	Wiper אחורי Motor Run Relay מעגל Failure	Wiper Rear Motor Run Relay Circuit Failure
B1245	Wiper אחורי Motor Run Relay מעגל קצר למתח מצבר	Wiper Rear Motor Run Relay Circuit Short to Battery
B1246	Dim Panel Potentiometer Switch מעגל Failure	Dim Panel Potentiometer Switch Circuit Failure
B1247	Panel Dim Switch מעגל פתוח / נתק	Panel Dim Switch Circuit Open
B1249	תקלה B1249 - Blend Door Failure	Blend Door Failure
B1250	Air Temperature Internal Sensor מעגל Failure	Air Temperature Internal Sensor Circuit Failure
B1251	Air Temperature Internal Sensor מעגל פתוח / נתק	Air Temperature Internal Sensor Circuit Open
B1252	Air Temperature Internal Sensor מעגל קצר למתח מצבר	Air Temperature Internal Sensor Circuit Short To Battery
B1253	Air Temperature Internal Sensor מעגל קצר לאדמה (גוף הרכב)	Air Temperature Internal Sensor Circuit Short To Ground
B1254	Air Temperature External Sensor מעגל Failure	Air Temperature External Sensor Circuit Failure
B1255	Air Temperature External Sensor מעגל פתוח / נתק	Air Temperature External Sensor Circuit Open
B1256	Air Temperature External Sensor מעגל קצר למתח מצבר	Air Temperature External Sensor Circuit Short To Battery
B1257	Air Temperature External Sensor מעגל קצר לאדמה (גוף הרכב)	Air Temperature External Sensor Circuit Short To Ground
B1258	Solar Radiation Sensor מעגל Failure	Solar Radiation Sensor Circuit Failure
B1259	Solar Radiation Sensor מעגל פתוח / נתק	Solar Radiation Sensor Circuit Open
B1260	Solar Radiation Sensor מעגל קצר למתח מצבר	Solar Radiation Sensor Circuit Short To Battery
B1261	Solar Radiation Sensor מעגל קצר לאדמה (גוף הרכב)	Solar Radiation Sensor Circuit Short To Ground
B1262	Servo Motor Defrost מעגל Failure	Servo Motor Defrost Circuit Failure
B1263	Servo Motor Vent מעגל Failure	Servo Motor Vent Circuit Failure
B1264	Servo Motor Foot מעגל Failure	Servo Motor Foot Circuit Failure
B1265	Servo Motor Coolair Bypass מעגל Failure	Servo Motor Coolair Bypass Circuit  Failure
B1266	Servo Motor Airintake שמאל מעגל Failure	Servo Motor Airintake Left Circuit Failure
B1267	Servo Motor Airintake ימין מעגל Failure	Servo Motor Airintake Right Circuit Failure
B1268	Servo Motor Potentiometer Defrost מעגל Failure	Servo Motor Potentiometer Defrost Circuit Failure
B1269	Servo Motor Potentiometer Defrost מעגל פתוח / נתק	Servo Motor Potentiometer Defrost Circuit Open
B1270	Servo Motor Potentiometer Defrost מעגל קצר למתח מצבר	Servo Motor Potentiometer Defrost Circuit Short To Battery
B1271	Servo Motor Potentiometer Defrost מעגל קצר לאדמה (גוף הרכב)	Servo Motor Potentiometer Defrost Circuit Short To Ground
B1272	Servo Motor Potentiometer Vent מעגל Failure	Servo Motor Potentiometer Vent Circuit Failure
B1273	Servo Motor Potentiometer Vent מעגל פתוח / נתק	Servo Motor Potentiometer Vent Circuit Open
B1274	Servo Motor Potentiometer Vent מעגל קצר למתח מצבר	Servo Motor Potentiometer Vent Circuit Short To Battery
B1275	Servo Motor Potentiometer Vent מעגל קצר לאדמה (גוף הרכב)	Servo Motor Potentiometer Vent Circuit Short To Ground
B1276	Servo Motor Potentiometer Foot מעגל Failure	Servo Motor Potentiometer Foot Circuit Failure
B1277	Servo Motor Potentiometer Foot מעגל פתוח / נתק	Servo Motor Potentiometer Foot Circuit Open
B1278	Servo Motor Potentiometer Foot מעגל קצר למתח מצבר	Servo Motor Potentiometer Foot Circuit Short To Battery
B1279	Servo Motor Potentiometer Foot מעגל קצר לאדמה (גוף הרכב)	Servo Motor Potentiometer Foot Circuit Short To Ground
B1280	Servo Motor Potentiometer Coolair מעגל Failure	Servo Motor Potentiometer Coolair Circuit Failure
B1281	Servo Motor Potentiometer Coolair מעגל פתוח / נתק	Servo Motor Potentiometer Coolair Circuit Open
B1282	Servo Motor Potentiometer Coolair מעגל קצר למתח מצבר	Servo Motor Potentiometer Coolair Circuit Short To Battery
B1283	Servo Motor Potentiometer Coolair מעגל קצר לאדמה (גוף הרכב)	Servo Motor Potentiometer Coolair Circuit Short To Ground
B1284	Servo Motor Potentiometer Airintake שמאל מעגל Failure	Servo Motor Potentiometer Airintake Left Circuit Failure
B1285	Servo Motor Potentiometer Airintake שמאל מעגל פתוח / נתק	Servo Motor Potentiometer Airintake Left Circuit Open
B1286	Servo Motor Potentiometer Airintake שמאל מעגל קצר למתח מצבר	Servo Motor Potentiometer Airintake Left Circuit Short To Battery
B1287	Servo Motor Potentiometer Airintake שמאל מעגל קצר לאדמה (גוף הרכב)	Servo Motor Potentiometer Airintake Left Circuit Short To Ground
B1288	Servo Motor Potentiometer Airintake ימין מעגל Failure	Servo Motor Potentiometer Airintake Right Circuit Failure
B1289	Servo Motor Potentiometer Airintake ימין מעגל פתוח / נתק	Servo Motor Potentiometer Airintake Right Circuit Open
B1290	Servo Motor Potentiometer Airintake ימין מעגל קצר למתח מצבר	Servo Motor Potentiometer Airintake Right Circuit Short To Battery
